brand,mention_count,sov_percentage,rank
Living Proof,148,63.52,1
Off&Relax,5,2.15,2
Kérastase,5,2.15,3
L'oréal,4,1.72,4
Olaplex,4,1.72,5
馥绿德雅,3,1.29,6
Dove,2,0.86,7
Gencbeauty,2,0.86,8
诗裴丝,2,0.86,9
Christophe Robin,2,0.86,10
Hourglass,1,0.43,11
Tatcha,1,0.43,12
Ren Clean Skincare,1,0.43,13
Kate Somerville,1,0.43,14
且初,1,0.43,15
Murad,1,0.43,16
联合利华,1,0.43,17
Leonor Greyl,1,0.43,18
Black Baccara,1,0.43,19
Sachajuan,1,0.43,20
Le Labo,1,0.43,21
Revlon,1,0.43,22
Miriam Quevedo,1,0.43,23
MY.ORGANICS,1,0.43,24
Blancha,1,0.43,25
Vitabrid,1,0.43,26
Befe,1,0.43,27
Selsun,1,0.43,28
Fapopro,1,0.43,29
Diptyque,1,0.43,30
Ulike,1,0.43,31
Lg,1,0.43,32
Mq,1,0.43,33
Thera Breath,1,0.43,34
L'occitane,1,0.43,35
卡詩,1,0.43,36
Ouai,1,0.43,37
Claynal蓬派,1,0.43,38
Oribe,1,0.43,39
Longtake,1,0.43,40
Maternatura,1,0.43,41
Noah,1,0.43,42
Aveda,1,0.43,43
胖东来,1,0.43,44
若也roye,1,0.43,45
Revitalash,1,0.43,46
21 Pharma,1,0.43,47
L'oreal,1,0.43,48
丝芙兰,1,0.43,49
Kundal,1,0.43,50
Giovanni,1,0.43,51
Vichy,1,0.43,52
Niucoco,1,0.43,53
Sudtana,1,0.43,54
欧舒丹,1,0.43,55
蜂花,1,0.43,56
Aesop,1,0.43,57
亚马逊,1,0.43,58
欧莱雅卡尼尔,1,0.43,59
René Furterer,1,0.43,60
威娜,1,0.43,61
K18,1,0.43,62
Epres,1,0.43,63
Philipb,1,0.43,64
Hl黑云杉,1,0.43,65
Lush,1,0.43,66
