brand,mention_count,sov_percentage,rank
L'Oréal,11,6.01,1
施华蔻,10,5.46,2
Kérastase,9,4.92,3
Off&Relax,7,3.83,4
Dove,6,3.28,5
Fan Beauty,4,2.19,6
Davines,4,2.19,7
吕,3,1.64,8
Aesop,3,1.64,9
璐米,3,1.64,10
胖东来,3,1.64,11
Living Proof,3,1.64,12
Alra,2,1.09,13
Kiehl's,2,1.09,14
Head & Shoulders,2,1.09,15
馥绿德雅,2,1.09,16
弹动,2,1.09,17
Clear,2,1.09,18
Shiseido,2,1.09,19
MY.ORGANICS,2,1.09,20
Pantene,2,1.09,21
Dercos,2,1.09,22
Spes,2,1.09,23
洗发水,2,1.09,24
Ehd,2,1.09,25
水杨酸控油洗发水,2,1.09,26
Ldk,1,0.55,27
岚礼,1,0.55,28
徐艺洋代言品牌,1,0.55,29
品牌未知,1,0.55,30
Maternatura,1,0.55,31
Iam,1,0.55,32
滋源,1,0.55,33
Lux,1,0.55,34
Pote,1,0.55,35
Aussie,1,0.55,36
Ogx,1,0.55,37
Amino Mason,1,0.55,38
蜂花,1,0.55,39
薇,1,0.55,40
鱼子酱,1,0.55,41
Vegamour,1,0.55,42
馥马尔,1,0.55,43
赛,1,0.55,44
Decrecos,1,0.55,45
章小蕙,1,0.55,46
山姆,1,0.55,47
沙宣,1,0.55,48
未明确提及品牌,1,0.55,49
吕本源,1,0.55,50
Haohao,1,0.55,51
Monpure,1,0.55,52
Doravan,1,0.55,53
澳丝,1,0.55,54
自然堂,1,0.55,55
Aveeno,1,0.55,56
康,1,0.55,57
Unove,1,0.55,58
Kono,1,0.55,59
Easevia,1,0.55,60
See Young,1,0.55,61
Hemn,1,0.55,62
无特定品牌提及,1,0.55,63
科 氏,1,0.55,64
迷 宝,1,0.55,65
Off Ax,1,0.55,66
欧 雅,1,0.55,67
薇姿,1,0.55,68
半亩花田,1,0.55,69
Befe,1,0.55,70
侧柏叶洗发水,1,0.55,71
Ouai,1,0.55,72
康王,1,0.55,73
Eof,1,0.55,74
红派,1,0.55,75
惊爆,1,0.55,76
菲诗,1,0.55,77
域发,1,0.55,78
康如,1,0.55,79
中药洗发水,1,0.55,80
茶柚,1,0.55,81
飘柔,1,0.55,82
珮珮,1,0.55,83
Lmltop,1,0.55,84
海洋主义,1,0.55,85
Kundal,1,0.55,86
昆黛尔,1,0.55,87
Vs沙宣,1,0.55,88
Olaplex,1,0.55,89
Ryo,1,0.55,90
Thann,1,0.55,91
Virtue,1,0.55,92
Aromase,1,0.55,93
Sheveu,1,0.55,94
Aveda,1,0.55,95
韩束,1,0.55,96
尤也海盐,1,0.55,97
爱敬,1,0.55,98
歌原,1,0.55,99
Revitalash,1,0.55,100
若也roye,1,0.55,101
Christophe Robin,1,0.55,102
René Furterer,1,0.55,103
Deepseek,1,0.55,104
Evolvh,1,0.55,105
Klorane,1,0.55,106
Biolas,1,0.55,107
Selsun Blue,1,0.55,108
Vichy,1,0.55,109
Loreal,1,0.55,110
Schwarzkopf,1,0.55,111
Aquair,1,0.55,112
Revlon,1,0.55,113
Alpecin,1,0.55,114
防脱增发系列,1,0.55,115
