brand,mention_count,sov_percentage,rank
施华蔻,7,8.86,1
L'Oréal,6,7.59,2
Off&Relax,5,6.33,3
Dove,4,5.06,4
Kérastase,4,5.06,5
胖东来,3,3.8,6
Fan Beauty,3,3.8,7
璐米,3,3.8,8
弹动,2,2.53,9
Shiseido,2,2.53,10
吕,2,2.53,11
Living Proof,2,2.53,12
Aesop,2,2.53,13
馥绿德雅,2,2.53,14
Lmltop,1,1.27,15
Pantene,1,1.27,16
鱼子酱,1,1.27,17
Vegamour,1,1.27,18
Pote,1,1.27,19
Lux,1,1.27,20
Alra,1,1.27,21
Maternatura,1,1.27,22
Iam,1,1.27,23
Kono,1,1.27,24
Kiehl's,1,1.27,25
澳丝,1,1.27,26
吕本源,1,1.27,27
蜂花,1,1.27,28
尤也海盐,1,1.27,29
Ehd,1,1.27,30
Revitalash,1,1.27,31
Deepseek,1,1.27,32
海洋主义,1,1.27,33
René Furterer,1,1.27,34
Kundal,1,1.27,35
Christophe Robin,1,1.27,36
若也roye,1,1.27,37
Spes,1,1.27,38
徐艺洋代言品牌,1,1.27,39
歌原,1,1.27,40
半亩花田,1,1.27,41
爱敬,1,1.27,42
昆黛尔,1,1.27,43
Clear,1,1.27,44
MY.ORGANICS,1,1.27,45
山姆,1,1.27,46
