brand,mention_count,sov_percentage,rank
L'oréal,12,6.03,1
施华蔻,11,5.53,2
Kérastase,9,4.52,3
Living Proof,8,4.02,4
Dove,7,3.52,5
Off&Relax,7,3.52,6
Fan Beauty,4,2.01,7
Davines,4,2.01,8
吕,3,1.51,9
Pantene,3,1.51,10
胖东来,3,1.51,11
Aesop,3,1.51,12
璐米,3,1.51,13
Clear,2,1.01,14
Dercos,2,1.01,15
Head & Shoulders,2,1.01,16
Spes,2,1.01,17
Alra,2,1.01,18
洗发水,2,1.01,19
Shiseido,2,1.01,20
沙宣,2,1.01,21
弹动,2,1.01,22
馥绿德雅,2,1.01,23
康如,2,1.01,24
Kiehl's,2,1.01,25
Olaplex,2,1.01,26
MY.ORGANICS,2,1.01,27
Ehd,2,1.01,28
水杨酸控油洗发水,2,1.01,29
Evolvh,1,0.5,30
蜂花,1,0.5,31
滋源,1,0.5,32
Ldk,1,0.5,33
Lux,1,0.5,34
Pote,1,0.5,35
Vegamour,1,0.5,36
鱼子酱,1,0.5,37
昆黛尔,1,0.5,38
René Furterer,1,0.5,39
Ryo,1,0.5,40
Kundal,1,0.5,41
Iam,1,0.5,42
吕本源,1,0.5,43
澳丝,1,0.5,44
品牌未知,1,0.5,45
Aussie,1,0.5,46
Ogx,1,0.5,47
Amino Mason,1,0.5,48
Vs沙宣,1,0.5,49
薇,1,0.5,50
徐艺洋代言品牌,1,0.5,51
Unove,1,0.5,52
章小蕙,1,0.5,53
山姆,1,0.5,54
未明确提及品牌,1,0.5,55
Haohao,1,0.5,56
Monpure,1,0.5,57
Doravan,1,0.5,58
自然堂,1,0.5,59
Decrecos,1,0.5,60
Aveeno,1,0.5,61
Kono,1,0.5,62
赛,1,0.5,63
Easevia,1,0.5,64
See Young,1,0.5,65
Hemn,1,0.5,66
无特定品牌提及,1,0.5,67
科 氏,1,0.5,68
迷 宝,1,0.5,69
Off Ax,1,0.5,70
欧 雅,1,0.5,71
康,1,0.5,72
半亩花田,1,0.5,73
馥马尔,1,0.5,74
岚礼,1,0.5,75
Vichy,1,0.5,76
Christophe Robin,1,0.5,77
Loreal,1,0.5,78
Schwarzkopf,1,0.5,79
Aquair,1,0.5,80
Niucoco,1,0.5,81
Deepseek,1,0.5,82
中药洗发水,1,0.5,83
侧柏叶洗发水,1,0.5,84
茶柚,1,0.5,85
若也roye,1,0.5,86
Revitalash,1,0.5,87
康王,1,0.5,88
Eof,1,0.5,89
红派,1,0.5,90
惊爆,1,0.5,91
菲诗,1,0.5,92
域发,1,0.5,93
Ouai,1,0.5,94
Virtue,1,0.5,95
珮珮,1,0.5,96
Selsun Blue,1,0.5,97
Thann,1,0.5,98
Biolas,1,0.5,99
Maternatura,1,0.5,100
海洋主义,1,0.5,101
薇姿,1,0.5,102
Biolage,1,0.5,103
Befe,1,0.5,104
飘柔,1,0.5,105
韩束,1,0.5,106
尤也海盐,1,0.5,107
Revlon,1,0.5,108
Alpecin,1,0.5,109
Aveda,1,0.5,110
爱敬,1,0.5,111
Bioxsine,1,0.5,112
Sheveu,1,0.5,113
Aromase,1,0.5,114
歌原,1,0.5,115
My A Ganics,1,0.5,116
Lmltop,1,0.5,117
Klorane,1,0.5,118
防脱增发系列,1,0.5,119
