brand,mention_count,sov_percentage,rank
施华蔻,7,8.86,1
欧莱雅,6,7.59,2
多芬,4,5.06,3
璐米,3,3.8,4
Off&Relax,3,3.8,5
胖东来,3,3.8,6
卡诗,3,3.8,7
吕,2,2.53,8
FanBeauty,2,2.53,9
offrelax,2,2.53,10
馥绿德雅,2,2.53,11
弹动,2,2.53,12
Aesop,2,2.53,13
鱼子酱,1,1.27,14
Living proof,1,1.27,15
吕本源,1,1.27,16
IAM,1,1.27,17
蜂花,1,1.27,18
潘婷,1,1.27,19
KONO,1,1.27,20
Vegamour,1,1.27,21
Pote,1,1.27,22
Alra,1,1.27,23
澳丝,1,1.27,24
科颜氏,1,1.27,25
资生堂,1,1.27,26
Maternatura,1,1.27,27
力士,1,1.27,28
Fan Beauty,1,1.27,29
徐艺洋代言品牌,1,1.27,30
尤也海盐,1,1.27,31
EHD,1,1.27,32
昆黛尔,1,1.27,33
kundal,1,1.27,34
海洋主义,1,1.27,35
LMLTOP,1,1.27,36
MY.ORGANICS,1,1.27,37
DeepSeek,1,1.27,38
Kérastase,1,1.27,39
Shiseido,1,1.27,40
Rene Furterer,1,1.27,41
Living Proof,1,1.27,42
Christophe Robin,1,1.27,43
若也roye,1,1.27,44
Revitalash,1,1.27,45
spes,1,1.27,46
歌原,1,1.27,47
半亩花田,1,1.27,48
爱敬,1,1.27,49
清扬,1,1.27,50
山姆,1,1.27,51
