brand,mention_count,sov_percentage,rank
Living Proof,86,62.32,1
Kérastase,6,4.35,2
雅诗兰黛,3,2.17,3
丝芙兰,2,1.45,4
兰蔻,2,1.45,5
诗裴丝,2,1.45,6
除障香,1,0.72,7
每日圆满,1,0.72,8
Lush,1,0.72,9
玉肌,1,0.72,10
马林狗子,1,0.72,11
縷靈,1,0.72,12
艾天然,1,0.72,13
美宝莲,1,0.72,14
Clotoo,1,0.72,15
露得清,1,0.72,16
馥绿德雅,1,0.72,17
悦诗风吟,1,0.72,18
彼得罗夫,1,0.72,19
香奈儿,1,0.72,20
卡普里岛,1,0.72,21
娇兰,1,0.72,22
番茄小说,1,0.72,23
郑云龙,1,0.72,24
欧莱雅卡尼尔,1,0.72,25
赛逸,1,0.72,26
暖暖nikki,1,0.72,27
测试品牌a,1,0.72,28
测试品牌b,1,0.72,29
批量测试品牌1a,1,0.72,30
批量测试品牌1b,1,0.72,31
批量测试品牌2a,1,0.72,32
批量测试品牌2b,1,0.72,33
批量测试品牌3a,1,0.72,34
批量测试品牌3b,1,0.72,35
半亩花田,1,0.72,36
Shiseido,1,0.72,37
L'oréal,1,0.72,38
Longtake,1,0.72,39
Off&Relax,1,0.72,40
La Mer,1,0.72,41
娇韵诗,1,0.72,42
澳尔滨,1,0.72,43
