keyword,method,tier,tier_limit,rank,brand,mention_count,sov_percentage,total_records,calculated_at
缕灵,simple,top100,100,14,Redken,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,15,Gotukola,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,16,Revitalash,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,17,Furterer,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,18,赛逸,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,19,Claynal蓬派,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,20,特仑苏,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,21,Leonorgreyl,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,22,开市客,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,23,亚马逊,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,24,暖暖nikki,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,25,Head & Shoulders,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,26,Moroccanoil,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,27,Le Labo,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,28,Black Baccara,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,29,Miriam Quevedo,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,30,Mcdonald's,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,31,Longtake,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,32,薇姿,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,33,Lush,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,34,Hair Recipe,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,35,Mild By Nature,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,36,René Furterer,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,37,丝芙兰,1,0.61,164,2025-06-10 11:48:06
